index_code,con_code,trade_date,weight
000985.SH,600662.SH,20150630,0.037
000985.SH,300001.SZ,20150630,0.037
000985.SH,300115.SZ,20150630,0.037
000985.SH,000028.SZ,20150630,0.037
000985.SH,300316.SZ,20150630,0.037
000985.SH,300207.SZ,20150630,0.037
000985.SH,000587.SZ,20150630,0.037
000985.SH,600284.SH,20150630,0.037
000985.SH,000717.SZ,20150630,0.037
000985.SH,002527.SZ,20150630,0.037
000985.SH,002175.SZ,20150630,0.036
000985.SH,300111.SZ,20150630,0.036
000985.SH,300156.SZ,20150630,0.036
000985.SH,600186.SH,20150630,0.036
000985.SH,000777.SZ,20150630,0.036
000985.SH,300226.SZ,20150630,0.036
000985.SH,002050.SZ,20150630,0.036
000985.SH,300068.SZ,20150630,0.036
000985.SH,600227.SH,20150630,0.036
000985.SH,000816.SZ,20150630,0.036
000985.SH,600139.SH,20150630,0.036
000985.SH,002037.SZ,20150630,0.036
