ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
932368.CSI,20220106,3145.7425,,,,3150.8018,-5.0593,-0.1606,21934667.03,21980543.029
932368.CSI,20220107,3171.0298,,,,3145.7425,25.2873,0.8039,30075210.33,27075618.38
932368.CSI,20220110,3190.9073,,,,3171.0298,19.8775,0.6268,24689237.36,23466336.963
932368.CSI,20220111,3184.0175,,,,3190.9073,-6.8898,-0.2159,24900089.61,23032797.714
932368.CSI,20220112,3185.2399,,,,3184.0175,1.2224,0.0384,21100806.95,20186346.482
932368.CSI,20220113,3180.9937,,,,3185.2399,-4.2462,-0.1333,23490537.05,23914609.262
932368.CSI,20220114,3124.2845,,,,3180.9937,-56.7092,-1.7828,23020326.16,22419835.505
932368.CSI,20220117,3112.542,,,,3124.2845,-11.7425,-0.3758,18656529.4,20718501.437
932368.CSI,20220118,3163.9927,,,,3112.542,51.4507,1.653,22065120.14,22931044.959
932368.CSI,20220119,3174.8441,,,,3163.9927,10.8514,0.343,26029315.3,25307281.917
932368.CSI,20220120,3181.3182,,,,3174.8441,6.4741,0.2039,25578745.46,23106958.011
932368.CSI,20220121,3166.8431,,,,3181.3182,-14.4751,-0.455,24477728.89,24346270.24
932368.CSI,20220124,3160.0805,,,,3166.8431,-6.7626,-0.2135,20954210.31,19391671.138
932368.CSI,20220125,3050.1424,,,,3160.0805,-109.9381,-3.479,25202059.85,21742330.424
932368.CSI,20220126,3062.1732,,,,3050.1424,12.0308,0.3944,18946853.56,16563295.881
932368.CSI,20220127,3024.921,,,,3062.1732,-37.2522,-1.2165,18662202.95,16311144.324
932368.CSI,20220128,2966.79,,,,3024.921,-58.131,-1.9217,21261710.57,17386925.284
932368.CSI,20220207,3076.8854,,,,2966.79,110.0954,3.7109,24744272.72,19033233.71
932368.CSI,20220208,3191.8906,,,,3076.8854,115.0052,3.7377,32855115.08,26119574.043
932368.CSI,20220209,3222.0086,,,,3191.8906,30.118,0.9436,33077028.88,26978894.596
932368.CSI,20220210,3269.3227,,,,3222.0086,47.3141,1.4685,29253420.87,25405759.504
932368.CSI,20220211,3274.8017,,,,3269.3227,5.479,0.1676,28586576.9,27469563.042
932368.CSI,20220214,3219.812,,,,3274.8017,-54.9897,-1.6792,23789596.7,21525056.504
932368.CSI,20220215,3186.3805,,,,3219.812,-33.4315,-1.0383,18332047.93,16271307.187
932368.CSI,20220216,3214.8923,,,,3186.3805,28.5118,0.8948,17714009.29,16286302.006
932368.CSI,20220217,3210.3469,,,,3214.8923,-4.5454,-0.1414,17642412.97,15722305.047
932368.CSI,20220218,3275.561,,,,3210.3469,65.2141,2.0314,23386021.36,20180213.104
932368.CSI,20220221,3296.8658,,,,3275.561,21.3048,0.6504,25341274.79,21335970.136
932368.CSI,20220222,3282.844,,,,3296.8658,-14.0218,-0.4253,24362125.5,22049058.042
