
### 2016-06-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
| 10 | 上汽集团 | 3.6% | 3.10% | | 陕西煤业 | 291.0% | 800.00% |

### 2022-03-14

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 10.0% | 11.22% | | 中国神华 | 1000.0% | 1384.00% |
| 2 | 中国电信 | 7.7% | 6.81% | | 中国电信 | 912.0% | 1370.00% |
| 3 | 中国联通 | 6.7% | 12.28% | | 中国联通 | 788.0% | 1239.00% |
| 4 | 中远海控 | 6.4% | 9.32% | | 中远海控 | 757.0% | 1112.00% |
| 5 | 长江电力 | 6.2% | 5.69% | | 长江电力 | 738.0% | 571.00% |
| 6 | 中国石化 | 6.1% | 3.11% | | 美的集团 | 491.0% | 459.00% |
| 7 | 美的集团 | 4.2% | 4.37% | | 中国中冶 | 479.0% | 634.00% |
| 8 | 中国中冶 | 4.1% | 6.11% | | 国电电力 | 444.0% | 814.00% |
| 9 | 国电电力 | 3.8% | 8.08% | | 中国广核 | 329.0% | 626.00% |
| 10 | 上汽集团 | 3.7% | 3.31% | | 格力电器 | 290.0% | 669.00% |

### 2022-06-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中远海控 | 10.0% | 55.02% | | 中远海控 | 1000.0% | 6678.00% |
| 2 | XD中国移 | 10.0% | 6.34% | | 中国石化 | 972.0% | 698.00% |
| 3 | 中国石化 | 7.7% | 6.35% | | 中国神华 | 857.0% | 1275.00% |
| 4 | 中国石油 | 7.3% | 3.78% | | 中国电信 | 654.0% | 1957.00% |
| 5 | 中国神华 | 6.8% | 10.25% | | 陕西煤业 | 523.0% | 1918.00% |
| 6 | 中国电信 | 5.2% | 8.98% | | 中国联通 | 484.0% | 1256.00% |
| 7 | 陕西煤业 | 4.1% | 19.32% | | 中煤能源 | 456.0% | 1818.00% |
| 8 | 中国联通 | 3.8% | 12.51% | | 宝钢股份 | 435.0% | 1231.00% |
| 9 | 中煤能源 | 3.6% | 14.74% | | 长江电力 | 391.0% | 490.00% |
| 10 | 宝钢股份 | 3.4% | 12.05% | | 美的集团 | 342.0% | 533.00% |

### 2022-09-12

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中远海控 | 10.0% | 59.70% | | 中远海控 | 1000.0% | 7149.00% |
| 2 | XD中国移 | 10.0% | 6.35% | | 中国移动 | 1000.0% | 3283.00% |
| 3 | 中国石化 | 7.6% | 6.22% | | 中国石化 | 848.0% | 682.00% |
| 4 | 中国石油 | 7.2% | 3.89% | | 中国神华 | 747.0% | 1314.00% |
| 5 | 中国神华 | 6.7% | 10.90% | | 中国电信 | 571.0% | 1636.00% |
| 6 | 中国电信 | 5.1% | 8.95% | | 陕西煤业 | 456.0% | 1663.00% |
| 7 | 陕西煤业 | 4.1% | 16.63% | | 中国联通 | 422.0% | 1239.00% |
| 8 | 中国联通 | 3.8% | 12.39% | | 中煤能源 | 398.0% | 1828.00% |
| 9 | 中煤能源 | 3.6% | 15.02% | | 宝钢股份 | 380.0% | 1324.00% |
| 10 | 宝钢股份 | 3.4% | 13.14% | | 长江电力 | 341.0% | 480.00% |

### 2022-12-12

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中远海控 | 10.0% | 59.66% | | 中远海控 | 1000.0% | 7217.00% |
| 2 | 中国石化 | 8.6% | 6.19% | | 中国石化 | 950.0% | 681.00% |
