ts_code,trade_date,total_mv,circ_mv,pe_ttm,pb
300349.SZ,20230609,573216.5782,509364.7935,17.1106,1.4387
300482.SZ,20230609,1282425.3711,960010.2401,25.7961,3.0346
002557.SZ,20230609,2134479.7335,2134463.104,22.559,3.9511
300053.SZ,20230609,988167.79,897521.5799,,3.9225
001258.SZ,20230609,884800.0006,221200.0006,45.6334,3.056
603628.SH,20230609,406319.2,406319.2,26.3833,3.5495
600459.SH,20230609,1149843.1644,1116525.081,30.7169,1.8773
600962.SH,20230609,302328.13,302328.13,32.0691,3.901
601985.SH,20230609,12982475.7819,12982475.7819,14.1902,1.5135
600642.SH,20230609,3323682.9496,3293563.2196,20.5833,1.0503
600295.SH,20230609,2770788.4919,1955820.4919,6.2997,1.2932
600444.SH,20230609,189323.5581,189323.5581,45.3314,2.8247
605100.SH,20230609,255917.592,115708.992,68.1344,1.4276
301399.SZ,20230609,644160.0,152726.7346,61.9859,5.0217
600606.SH,20230609,4131940.1843,4131940.1843,90.9873,0.445
300320.SZ,20230609,437097.2569,360209.4708,45.7573,2.0957
003036.SZ,20230609,278856.0,73207.7688,21.4773,2.2365
301233.SZ,20230609,207578.51,51904.71,44.6458,2.3741
300313.SZ,20230609,153045.9466,90084.3023,,19.0722
605118.SH,20230609,700591.948,71744.984,49.1877,5.2637
300890.SZ,20230609,434700.3836,345169.9266,24.3172,2.5898
301309.SZ,20230609,272700.0,68175.0,23.4402,2.024
000980.SZ,20230609,1225339.1006,1041850.7497,,5.4476
920198.BJ,20230609,69547.8288,27975.9648,,1.158
300994.SZ,20230609,332849.664,111178.368,23.9051,3.2435
000521.SZ,20230609,756993.9305,643719.4746,20.9154,1.4293
688509.SH,20230609,392700.0,191909.022,140.1448,2.6029
