ts_code,end_date,total_liab,money_cap,total_assets
002023.SZ,20090930,264992193.21,115219715.37,825322352.25
000059.SZ,20090930,12488434724.84,1324511477.47,18746523821.39
000931.SZ,20090930,3162078806.46,106052640.63,3989896062.93
000936.SZ,20090930,1424375486.86,382331020.02,2741875632.85
000926.SZ,20090930,4080156032.65,587955879.22,7978018377.78
000401.SZ,20090930,12634736197.83,4571609060.9,19688753717.94
000915.SZ,20090930,592837573.76,150553758.37,1103740726.03
000422.SZ,20090930,8541838767.68,880780457.49,11802043213.53
000159.SZ,20090930,1113064973.83,351562201.9,2211438594.26
001696.SZ,20090930,1043988932.17,890997813.85,2791631964.62
000505.SZ,20090930,1278360354.21,352247898.36,1810647018.13
002007.SZ,20090930,176371796.38,265107238.86,1477939376.84
000972.SZ,20090930,4947757042.26,700918015.41,6258953396.03
000507.SZ,20090930,443907644.23,120171448.83,1576049410.91
000933.SZ,20090930,14589622050.1,3046343192.63,18866606243.1
000536.SZ,20090930,124134121.09,8759944.61,168331892.78
000528.SZ,20090930,4726547497.75,1690007913.25,8537813683.79
000035.SZ,20090930,1816914334.66,607469.93,571893676.76
000019.SZ,20090930,193091425.9,75747399.45,576414280.39
000032.SZ,20090930,538946885.85,263431724.97,1314700304.34
000903.SZ,20090930,1646396223.9,1067436973.16,4153903192.7
000906.SZ,20090930,1641920150.18,377944105.16,2079079641.71
000417.SZ,20090930,2210619351.12,1147596945.1,3440220022.17
000415.SZ,20090930,761106859.09,33598697.11,1122119855.69
000090.SZ,20090930,3039712502.4,394912495.23,5406025259.17
000058.SZ,20090930,258223615.46,471494324.48,1482483593.9
000061.SZ,20090930,2806822149.72,1396918045.66,6364443264.92
000420.SZ,20090930,1737862529.78,229496989.12,2662175909.97
000416.SZ,20090930,237042486.75,406146993.01,977773913.49
000400.SZ,20090930,2428950829.3,835151333.43,4905201646.9
000096.SZ,20090930,113846470.49,622050473.95,1745949952.5
002207.SZ,20090930,369431718.62,182230914.9,708907077.95
002242.SZ,20090930,899124834.45,2383853084.07,3568023226.62
002235.SZ,20090930,168416840.9,222719888.86,653156635.31
002234.SZ,20090930,434108670.49,263673634.39,1046706742.96
002217.SZ,20090930,405994843.24,328732932.09,1124023653.77
002240.SZ,20090930,1491470587.38,92173870.62,3177538362.38
000018.SZ,20090930,62800091.0,56335840.0,193563332.0
002264.SZ,20090930,805231843.98,419184678.08,1312408711.43
002263.SZ,20090930,1093921266.18,40867500.93,2053092145.76
002267.SZ,20090930,691431563.06,370619101.03,2804403141.52
000005.SZ,20090930,589420141.94,26492376.18,1329657221.3
002272.SZ,20090930,356834770.51,112042121.6,780577562.88
002262.SZ,20090930,488447711.93,274245945.67,864369626.77
002260.SZ,20090930,364976283.79,213293086.07,679194968.13
000875.SZ,20090930,6323004058.04,636358147.38,8641890708.56
002245.SZ,20090930,207941404.1,178299295.79,766715748.03
000888.SZ,20090930,441708007.84,103442681.96,1116010206.08
000029.SZ,20090930,2208570664.58,373565794.19,3417077642.44
000821.SZ,20090930,167330736.53,235741012.18,1277049071.71
