ts_code,ann_date,f_ann_date,end_date,operate_profit
002624.SZ,20150331,20150331,20141231,266298036.66
002625.SZ,20150214,20150214,20141231,42505649.67
002635.SZ,20150325,20150325,20141231,141085291.3
002640.SZ,20150331,20150331,20141231,45339298.65
002642.SZ,20150331,20150331,20141231,213024296.59
002646.SZ,20150428,20150428,20141231,379199252.62
002648.SZ,20150429,20150429,20141231,44266303.86
002653.SZ,20150311,20150311,20141231,454517854.93
002657.SZ,20150217,20150217,20141231,57300977.29
002663.SZ,20150310,20150310,20141231,478545936.61
002665.SZ,20150320,20150320,20141231,188806960.45
002670.SZ,20150324,20150324,20141231,110949320.64
002672.SZ,20150327,20150327,20141231,303239155.6
002673.SZ,20150428,20150428,20141231,884376214.81
002678.SZ,20150425,20150425,20141231,162921851.94
002681.SZ,20150422,20150422,20141231,161804558.09
002683.SZ,20150418,20150418,20141231,270683041.26
002690.SZ,20150409,20150409,20141231,247854593.24
002698.SZ,20150424,20150424,20141231,173561194.22
002705.SZ,20150427,20150427,20141231,269608333.91
002707.SZ,20150411,20150411,20141231,144320364.22
002709.SZ,20150318,20150318,20141231,64969698.16
002714.SZ,20150427,20150427,20141231,20975271.95
002727.SZ,20150213,20150213,20141231,344426754.67
002701.SZ,20150318,20150318,20141231,1006982275.0
002699.SZ,20150204,20150204,20141231,114680742.42
002736.SZ,20150429,20150429,20141231,6509069119.99
002738.SZ,20150410,20150410,20141231,49763535.45
002739.SZ,20150410,20150410,20141231,936998345.77
002745.SZ,20150422,20150422,20141231,505591809.78
002756.SZ,20150424,20150424,20141231,289331908.72
002761.SZ,20150525,20150525,20141231,50367043.76
002773.SZ,20150610,20150610,20141231,329561617.29
002791.SZ,20160310,20160310,20141231,254639117.81
002807.SZ,20160726,20160726,20141231,860455000.0
002797.SZ,20160425,20160425,20141231,659493688.85
002812.SZ,20160823,20160823,20141231,146910926.05
002815.SZ,20160912,20160912,20141231,312589171.97
002818.SZ,20161017,20161017,20141231,393320452.62
002831.SZ,20161125,20161125,20141231,689309391.11
002821.SZ,20161031,20161031,20141231,121242221.71
002839.SZ,20161213,20161213,20141231,813129582.66
002841.SZ,20161229,20161229,20141231,244029762.58
002850.SZ,20170213,20170213,20141231,85367533.71
002851.SZ,20170214,20170214,20141231,37172600.22
002865.SZ,20170405,20170405,20141231,62402869.72
002867.SZ,20170410,20170410,20141231,361169493.12
002901.SZ,20170905,20170905,20141231,159681817.16
002916.SZ,20171121,20171121,20141231,167350686.25
002920.SZ,20171205,20171205,20141231,173886292.84
002925.SZ,20171226,20171226,20141231,127774855.58
002926.SZ,20180116,20180116,20141231,1166652946.68
002936.SZ,20171129,20171129,20141231,3224572000.0
002938.SZ,20171110,20171110,20141231,1646717625.64
002939.SZ,20170630,20170630,20141231,902959649.89
002941.SZ,20180309,20180309,20141231,111661000.0
002945.SZ,20170918,20170918,20141231,318968873.61
002946.SZ,20170929,20170929,20141231,42038698.0
002948.SZ,20180109,20180109,20141231,1922000000.0
002957.SZ,20171229,20171229,20141231,449195224.8
002958.SZ,20180110,20180110,20141231,2246212000.0
002966.SZ,20180110,20180110,20141231,2322383000.0
003035.SZ,20150925,20150925,20141231,
003816.SZ,20150430,20150430,20141231,6044025841.41
300001.SZ,20150408,20150408,20141231,191141383.45
300002.SZ,20150425,20150425,20141231,618315133.11
300009.SZ,20150303,20150303,20141231,122671801.38
300003.SZ,20150318,20150318,20141231,516864355.55
300010.SZ,20150410,20150410,20141231,102915440.57
300012.SZ,20150410,20150410,20141231,159659767.95
300014.SZ,20150423,20150423,20141231,35596836.46
300015.SZ,20150331,20150331,20141231,429350766.46
300017.SZ,20150314,20150314,20141231,477215051.16
300024.SZ,20150410,20150410,20141231,303892797.21
300027.SZ,20150327,20150327,20141231,1179156062.79
300026.SZ,20150331,20150331,20141231,488493298.66
300032.SZ,20150327,20150327,20141231,106402241.43
300033.SZ,20150321,20150321,20141231,48992938.69
300037.SZ,20150324,20150324,20141231,157025010.88
300039.SZ,20150326,20150326,20141231,409904507.65
300043.SZ,20150320,20150320,20141231,299763087.55
300054.SZ,20150306,20150306,20141231,168130201.2
300055.SZ,20150306,20150306,20141231,225312795.61
300058.SZ,20150320,20150320,20141231,911485130.62
300059.SZ,20150214,20150214,20141231,193886384.66
300072.SZ,20150314,20150314,20141231,487748176.47
300070.SZ,20150425,20150425,20141231,1161917173.76
300073.SZ,20150324,20150324,20141231,-43621790.0
300085.SZ,20150410,20150410,20141231,26411572.18
300088.SZ,20150418,20150418,20141231,165428455.11
300100.SZ,20150421,20150421,20141231,146201226.01
300104.SZ,20150331,20150331,20141231,47866453.36
300113.SZ,20150327,20150327,20141231,142583867.36
300115.SZ,20150331,20150331,20141231,327189592.46
300114.SZ,20150327,20150327,20141231,110892007.18
300118.SZ,20150404,20150404,20141231,128020328.73
300122.SZ,20150421,20150421,20141231,172072890.74
300133.SZ,20150318,20150318,20141231,422682674.26
300124.SZ,20150320,20150320,20141231,616774639.22
300134.SZ,20150304,20150304,20141231,563131124.75
300136.SZ,20150416,20150416,20141231,62849544.35
300142.SZ,20150321,20150321,20141231,128161427.55
300140.SZ,20150305,20150305,20141231,13946584.79
300144.SZ,20150227,20150227,20141231,471988594.84
300146.SZ,20150228,20150228,20141231,554106993.37
300159.SZ,20150403,20150403,20141231,121593469.67
300147.SZ,20150422,20150422,20141231,206941773.36
300156.SZ,20150307,20150307,20141231,18722261.26
300166.SZ,20150324,20150324,20141231,138087289.58
