ts_code,end_date,operate_profit,total_revenue
000655.SZ,20040930,-44010208.54,116658286.81
000638.SZ,20040930,-910943.12,102952239.88
000593.SZ,20040930,2120596.36,138014910.92
000637.SZ,20040930,71831526.29,1849811154.76
000665.SZ,20040930,6583626.26,202390168.87
000679.SZ,20040930,24546720.84,794737430.19
000680.SZ,20040930,139350896.57,1480568982.66
000587.SZ,20040930,-39370400.35,143996270.9
000708.SZ,20040930,67341292.41,2790353730.61
000702.SZ,20040930,23485187.12,1277680737.73
000630.SZ,20040930,307189342.9,4335350111.66
000620.SZ,20040930,-5688979.61,537539168.31
000601.SZ,20040930,101833462.45,805226674.44
000785.SZ,20040930,-20252261.76,1599871545.46
000729.SZ,20040930,408847541.35,3856581677.85
000757.SZ,20040930,32460053.24,916306140.18
000782.SZ,20040930,105529315.0,1351891398.24
000767.SZ,20040930,379799175.82,1651598254.03
000709.SZ,20040930,1277065649.53,15358684998.57
000809.SZ,20040930,12599226.93,69411430.97
000768.SZ,20040930,14964639.06,648585699.37
000856.SZ,20040930,-165369.83,386161531.35
000821.SZ,20040930,51919558.93,450135693.78
000700.SZ,20040930,60512817.27,395516097.83
000015.SZ,20040930,,0.0
000009.SZ,20040930,41894975.09,1032151939.87
000012.SZ,20040930,322872726.0,1352051583.0
000027.SZ,20040930,1122882841.28,4151608979.58
000031.SZ,20040930,110126384.59,247449933.07
000040.SZ,20040930,38584018.0,590369547.0
000056.SZ,20040930,-7712535.88,103026757.32
000883.SZ,20040930,19767626.67,1326955052.67
000859.SZ,20040930,6426629.32,761509928.13
000078.SZ,20040930,14334672.15,1730888049.11
000159.SZ,20040930,-19881289.99,253057886.33
000048.SZ,20040930,9941237.85,724996814.23
000035.SZ,20040930,-32170276.2,1522967382.41
000899.SZ,20040930,40164920.5,458580499.3
000100.SZ,20040930,605380991.0,25803319198.0
000157.SZ,20040930,346825973.06,2610422804.67
000070.SZ,20040930,606323.2,301159781.74
000421.SZ,20040930,13436502.22,550905046.7
000416.SZ,20040930,149818875.4,383084499.5
000412.SZ,20040930,-24141855.17,0.0
000411.SZ,20040930,9970785.09,1520903496.24
000926.SZ,20040930,146108490.81,929028309.21
000951.SZ,20040930,122840980.08,5439188954.37
000900.SZ,20040930,232011523.7,643097757.74
000972.SZ,20040930,17733290.79,728217447.78
000921.SZ,20040930,201614149.0,6751812161.0
000415.SZ,20040930,11655226.92,252953193.75
000488.SZ,20040930,647533635.03,5198987453.03
000429.SZ,20040930,376094350.62,666234426.0
000970.SZ,20040930,117524696.62,687051509.98
000510.SZ,20040930,124538380.96,1335580055.16
000524.SZ,20040930,4863636.86,158541881.16
000928.SZ,20040930,1923821.74,812164624.09
000933.SZ,20040930,372297372.69,891810947.65
000505.SZ,20040930,-23623649.88,17337160.13
000527.SZ,20040930,542646300.98,14618841213.88
000936.SZ,20040930,65414227.34,1864101171.31
000543.SZ,20040930,300777710.38,1670292486.29
000531.SZ,20040930,271912998.95,1079667042.28
000523.SZ,20040930,2288080.56,573207190.83
000428.SZ,20040930,37267563.37,329635122.44
000962.SZ,20040930,47804914.98,468095847.16
000978.SZ,20040930,33543492.72,166714320.69
002016.SZ,20040930,7872192.39,53600153.55
000990.SZ,20040930,44479705.53,1012428563.93
002023.SZ,20040930,29937052.7,99580789.73
000546.SZ,20040930,-15166883.54,11485531.0
000556.SZ,20040930,,0.0
002006.SZ,20040930,27940676.8,203791750.28
000983.SZ,20040930,664160554.68,2686081804.27
000566.SZ,20040930,19072486.2,156110355.19
000560.SZ,20040930,11650759.57,536724635.53
002022.SZ,20040930,51508599.71,173304712.31
002018.SZ,20040930,24788513.84,182096400.62
000572.SZ,20040930,28769469.41,166603161.31
600833.SH,20040930,9909596.66,402354808.75
600684.SH,20040930,19013525.93,70968808.79
600880.SH,20040930,76342237.71,268778434.06
000551.SZ,20040930,59171973.12,1097698733.62
000550.SZ,20040930,391981357.07,4106503807.76
000893.SZ,20040930,8443301.27,459311917.01
000156.SZ,20040930,-83168789.35,322609624.73
600711.SH,20040930,16414941.07,101736966.41
600723.SH,20040930,-13879897.31,759275684.39
600499.SH,20040930,42477125.26,404959647.09
600380.SH,20040930,218829854.51,1769722559.78
600247.SH,20040930,25877831.09,147767204.55
600423.SH,20040930,62673603.14,455909680.19
000802.SZ,20040930,-23999520.66,314895631.8
600563.SH,20040930,67070606.03,251686517.79
001896.SZ,20040930,-26979764.19,390953684.79
000836.SZ,20040930,-10795077.92,183229739.33
000948.SZ,20040930,252229.2,798992148.52
600325.SH,20040930,47547797.56,348807316.0
600293.SH,20040930,16741178.8,298300647.58
600288.SH,20040930,21668794.86,1863434903.41
000736.SZ,20040930,-11632977.51,372396146.7
000506.SZ,20040930,-5809220.12,189774373.61
000939.SZ,20040930,91609540.34,1231115246.96
600729.SH,20040930,55727477.64,2294722101.1
000576.SZ,20040930,2780733.14,412559659.89
000839.SZ,20040930,184908924.22,1078656974.88
000837.SZ,20040930,44523748.98,391913883.03
600127.SH,20040930,4781916.63,469962372.32
600466.SH,20040930,8689524.66,127129251.79
600135.SH,20040930,81384063.76,482901717.45
600257.SH,20040930,20082473.46,179752572.14
600220.SH,20040930,86799207.99,1346780476.61
600391.SH,20040930,22387486.14,191176494.5
600986.SH,20040930,48582859.02,397682530.54
600419.SH,20040930,2836418.4,119333466.55
600372.SH,20040930,8027629.61,2335615714.64
600896.SH,20040930,54775417.71,426540890.18
600088.SH,20040930,1541253.02,257663119.85
002032.SZ,20040930,53414792.29,690760992.05
000605.SZ,20040930,10030045.37,62723726.45
600665.SH,20040930,39213293.03,574768315.84
600363.SH,20040930,59109894.15,842748940.59
600502.SH,20040930,40150379.45,682012975.1
002181.SZ,20040930,65801974.57,201211428.4
000688.SZ,20040930,-10837749.13,1302011428.08
600433.SH,20040930,14276956.78,249121236.57
600323.SH,20040930,95280575.47,200428647.14
600227.SH,20040930,95472649.0,471628314.02
600286.SH,20040930,-96684666.54,308606713.36
600354.SH,20040930,1665455.64,443604762.45
600672.SH,20040930,-48818146.8,2592030.3
600666.SH,20040930,10898091.84,285292780.09
600250.SH,20040930,133975984.35,6339354929.98
000534.SZ,20040930,351411.0,108890847.0
000851.SZ,20040930,14813174.65,173870173.03
600857.SH,20040930,3933537.22,500743566.14
000002.SZ,20040930,579830458.62,3474852014.32
600280.SH,20040930,53096428.36,1632107507.15
000650.SZ,20040930,-12682230.86,203946182.87
600549.SH,20040930,162102942.62,1116977452.88
002027.SZ,20040930,51448459.9,1346147274.69
000669.SZ,20040930,5847043.07,47959493.82
002033.SZ,20040930,51102075.53,77207858.51
000722.SZ,20040930,-28259338.47,403952544.27
000806.SZ,20040930,122632949.71,962102548.93
000792.SZ,20040930,338002999.99,692479143.34
000895.SZ,20040930,350444361.51,5898692128.49
000929.SZ,20040930,10748420.66,343556440.49
600223.SH,20040930,68067816.97,1844944635.27
600007.SH,20040930,251416000.0,514271000.0
000966.SZ,20040930,55550096.77,840813431.84
000026.SZ,20040930,1481821.78,192738367.46
600108.SH,20040930,106305574.9,873645848.88
600039.SH,20040930,5314209.88,1313119326.51
600131.SH,20040930,36422780.67,247038171.36
600775.SH,20040930,92837813.66,1757872853.95
600090.SH,20040930,-23867637.33,228396675.75
000935.SZ,20040930,-20405529.7,327143768.93
600082.SH,20040930,50446926.17,300629790.18
600791.SH,20040930,31555914.23,122270598.0
600165.SH,20040930,2216651.52,469836761.77
600798.SH,20040930,113846007.18,579755147.21
600806.SH,20040930,14437328.4,301463576.63
600821.SH,20040930,-975435.97,981624291.03
600114.SH,20040930,31305680.05,246223504.54
600273.SH,20040930,16622142.13,394772114.79
600182.SH,20040930,97595491.93,1124589153.31
600338.SH,20040930,-26937820.33,200349050.88
600215.SH,20040930,11444782.9,289790176.49
600882.SH,20040930,12307836.52,524159567.01
600834.SH,20040930,57935816.55,430534150.0
600535.SH,20040930,120690566.45,856739720.98
600614.SH,20040930,-23148492.99,359133059.65
600281.SH,20040930,36209112.93,829874197.32
600385.SH,20040930,-13743118.58,5836664.65
600031.SH,20040930,298691098.86,2144926995.99
600681.SH,20040930,-14955061.34,138836306.49
600543.SH,20040930,18086153.88,192922778.79
600405.SH,20040930,12703663.43,145163892.6
000544.SZ,20040930,15463908.99,341786231.11
600500.SH,20040930,890014908.08,8791647339.14
001872.SZ,20040930,631745442.0,1108069434.0
600483.SH,20040930,16346362.48,501581560.97
000558.SZ,20040930,9360081.54,119581076.49
600475.SH,20040930,62230864.75,934744631.73
600089.SH,20040930,179445310.05,2547253508.33
000623.SZ,20040930,102987462.48,520690455.11
000502.SZ,20040930,41543438.52,197539390.99
000413.SZ,20040930,6823457.0,79231447.0
000526.SZ,20040930,-3834996.67,7337771.65
600637.SH,20040930,92152313.77,3034658038.33
000402.SZ,20040930,271898226.85,1011625012.58
600517.SH,20040930,16600204.37,132283586.55
600881.SH,20040930,117931661.42,1641342514.32
600106.SH,20040930,48479153.79,124297850.56
600751.SH,20040930,7657305.0,671714262.0
600652.SH,20040930,114248483.84,1105150163.02
600609.SH,20040930,-213755340.76,745412839.05
600580.SH,20040930,47271084.55,401479931.59
600146.SH,20040930,-10802471.21,34907553.75
002011.SZ,20040930,21770113.65,152550074.33
600707.SH,20040930,249027000.0,2338363000.0
000750.SZ,20040930,-29604679.96,189464207.51
000627.SZ,20040930,-4253692.54,354826046.06
600661.SH,20040930,10421801.9,397209975.28
000950.SZ,20040930,-48027193.83,196754229.59
600745.SH,20040930,-14520390.1,65868953.81
600619.SH,20040930,269935653.44,2738620854.46
000980.SZ,20040930,4262471.99,108155114.61
000549.SZ,20040930,666656792.46,8984636734.42
600401.SH,20040930,28375812.48,196088010.74
600253.SH,20040930,59080583.52,650293593.52
600161.SH,20040930,53748015.7,210779437.23
600647.SH,20040930,-1251063.19,45866604.17
600336.SH,20040930,18732166.95,1913678990.87
600861.SH,20040930,47460761.2,971849528.91
000786.SZ,20040930,34595700.8,972414618.32
600207.SH,20040930,327485574.42,2120503661.84
600732.SH,20040930,4066138.35,112090487.85
600710.SH,20040930,82138738.41,1316257929.18
000653.SZ,20040930,-25977056.63,0.0
000689.SZ,20040930,-17881746.32,0.0
600720.SH,20040930,38457344.03,553796035.99
600726.SH,20040930,237840034.07,2178124769.22
000405.SZ,20040930,-16439622.37,0.0
600503.SH,20040930,-27661973.4,50674659.74
600733.SH,20040930,8722961.41,260580552.42
600713.SH,20040930,31160585.68,3709158526.18
600727.SH,20040930,13012615.02,633617226.43
600724.SH,20040930,103746159.04,944798283.12
600757.SH,20040930,43322633.92,2943145426.31
600740.SH,20040930,187452959.05,1386759136.01
600752.SH,20040930,-18598497.29,129266633.19
600750.SH,20040930,54203909.51,584892149.16
600742.SH,20040930,38974127.4,2670612860.7
600759.SH,20040930,1011040.76,100864224.98
600749.SH,20040930,13574523.86,169957618.4
600266.SH,20040930,95525271.7,982235537.63
600329.SH,20040930,84546894.0,1583057151.0
600761.SH,20040930,117618455.12,1040129409.37
600272.SH,20040930,37463850.46,2040448895.07
600267.SH,20040930,257040972.78,1342139500.53
600261.SH,20040930,69054160.91,537493918.4
600268.SH,20040930,22883483.53,479894864.32
600764.SH,20040930,11834359.8,40237417.92
600767.SH,20040930,-24789277.13,25210205.5
600277.SH,20040930,28665777.56,783341672.79
600279.SH,20040930,48372943.72,153102997.8
600296.SH,20040930,128097734.39,2030550054.69
600292.SH,20040930,54989486.12,397929899.53
600307.SH,20040930,716305598.57,6358457672.51
600318.SH,20040930,47507979.27,578569749.99
600328.SH,20040930,37239716.17,396944160.88
600310.SH,20040930,53109892.96,280228750.93
600319.SH,20040930,17605207.4,704063445.81
600335.SH,20040930,874649.83,214242607.41
600343.SH,20040930,17289338.57,94041748.1
600332.SH,20040930,128727834.49,5975523425.34
600315.SH,20040930,81096909.35,1285500262.42
600308.SH,20040930,300063092.34,1913391452.52
600357.SH,20040930,267329011.18,4597484210.86
600345.SH,20040930,28536470.0,413254240.0
600350.SH,20040930,742395550.0,1477178799.0
600388.SH,20040930,41637387.88,662062059.81
600352.SH,20040930,168464410.38,1042472199.34
600416.SH,20040930,64194160.0,898321538.0
600389.SH,20040930,71254123.99,1461155497.85
600422.SH,20040930,72184338.71,458713474.76
600403.SH,20040930,6734030.01,192769996.17
600392.SH,20040930,25568730.79,411537659.15
600362.SH,20040930,1113313477.0,7570391566.0
600439.SH,20040930,66560704.64,555659176.11
600479.SH,20040930,43137023.2,451843997.47
600444.SH,20040930,17023645.99,189147866.22
600480.SH,20040930,101430898.6,705576673.18
