ts_code,ann_date,f_ann_date,end_date,total_liab,money_cap,total_assets
600971.SH,20150415,20150415,20141231,6819287476.74,985903076.22,13813751682.8
600968.SH,20180105,20180105,20141231,17570472000.0,2428292200.0,35749261600.0
600988.SH,20150331,20150331,20141231,669007590.32,195528521.86,1491887432.92
600981.SH,20150214,20150214,20141231,3889365056.31,515282821.63,4935623874.53
600985.SH,20150327,20150327,20141231,295194705.63,265297960.09,1455363918.89
600977.SH,20160720,20160720,20141231,4543799144.78,2655334215.69,8991273879.91
600978.SH,20150415,20150415,20141231,3870708652.56,2220575789.06,10249656087.55
600993.SH,20150425,20150425,20141231,486888914.22,680887871.41,2185650127.3
600995.SH,20150327,20150327,20141231,1489615224.45,340764479.97,2884764916.33
600998.SH,20150428,20150428,20141231,16037856247.45,3587482625.49,24125035110.15
600996.SH,20161205,20161205,20141231,1874765667.67,254980626.17,3170326644.41
600989.SH,20171229,20171229,20141231,17494066855.73,2311534008.39,25067317599.47
601000.SH,20150416,20150416,20141231,7421359774.04,1333458616.68,15247257949.33
601001.SH,20150430,20150430,20141231,12402761404.25,5298357568.32,24655249881.87
601003.SH,20150429,20150429,20141231,19299871647.64,4026360650.46,25000073963.56
601002.SH,20150428,20150428,20141231,1463000880.04,121316118.3,4011365419.32
600999.SH,20150331,20150331,20141231,151811889342.09,54866893638.48,193408050497.75
601010.SH,20150228,20150228,20141231,2866344077.94,533652634.78,6813184091.18
601005.SH,20150331,20150331,20141231,37159307000.0,1246578000.0,47152433000.0
601009.SH,20150428,20150428,20141231,540366394000.0,,573150181000.0
601006.SH,20150429,20150429,20141231,22336602725.0,9638517206.0,106334344258.0
601012.SH,20150217,20150217,20141231,3186780206.36,1172307335.09,6449337830.71
601019.SH,20171030,20171030,20141231,5418779268.51,2704971955.62,9180681580.49
601016.SH,20150318,20150318,20141231,9311866780.7,496491367.79,13123504157.24
601018.SH,20150331,20150331,20141231,12383639000.0,2264944000.0,44908614000.0
601021.SH,20150324,20150324,20141231,7708198838.0,2399941795.0,11261488910.0
601058.SH,20150403,20150403,20141231,9503260968.43,2704356406.43,13867955511.68
601059.SH,20150415,20150415,20141231,27099872909.08,10143446085.78,33849266402.34
601066.SH,20180130,20180130,20141231,106678212800.0,45892297800.0,123406125700.0
601857.SH,20150327,20150327,20141231,1087616000000.0,76021000000.0,2405376000000.0
601858.SH,20161228,20161228,20141231,781880376.49,1524677220.15,2508972805.65
601866.SH,20150327,20150327,20141231,28663668789.96,9356388184.8,53541150888.4
601865.SH,20170707,20170707,20141231,2446669010.55,176708940.31,4104203010.35
601860.SH,20180112,20180112,20141231,65422852000.0,,70806853000.0
601868.SH,20150721,20150721,20141231,172465644000.0,32454491000.0,220213192000.0
601838.SH,20171219,20171219,20141231,282030445000.0,,300229738000.0
601869.SH,20170630,20170630,20141231,3679625116.0,2010953276.0,6591115749.0
601872.SH,20150324,20150324,20141231,14618475463.63,1697000444.36,28138043145.16
601877.SH,20150411,20150411,20141231,5759734097.41,2450368179.3,12202172858.32
601878.SH,20170516,20170516,20141231,28595677246.55,12273465726.81,35151225708.95
601880.SH,20150328,20150328,20141231,12865173626.21,2440913405.21,27844050860.04
601881.SH,20161226,20161226,20141231,150689787148.13,51811602091.59,180025706420.12
601888.SH,20150418,20150418,20141231,3908285732.25,7289176311.0,14700790200.05
601886.SH,20150331,20150331,20141231,14035601793.75,2495016216.6,19822075203.64
601898.SH,20150321,20150321,20141231,140001338000.0,26481843000.0,242706302000.0
601899.SH,20150321,20150321,20141231,41490665303.0,4139672768.0,75159587648.0
601901.SH,20150430,20150430,20141231,56119289943.98,22547541775.48,86923857305.14
601916.SH,20171110,20171110,20141231,636807274000.0,,669957446000.0
601908.SH,20150310,20150310,20141231,1624205756.87,406449746.99,5400379490.41
