ts_code,end_date,operate_profit,total_revenue
002056.SZ,20070331,46059656.84,344372619.13
600401.SH,20070331,-4007015.13,95513032.76
002138.SZ,20070331,10347018.67,29532144.32
002137.SZ,20070331,6746411.13,154191086.3
600198.SH,20070331,17862141.57,510734109.26
000564.SZ,20070331,14274308.47,272139182.18
000156.SZ,20070331,-9919976.61,72980158.11
600270.SH,20070331,119509595.26,563411672.99
600792.SH,20070331,-36942529.48,297526216.56
600288.SH,20070331,6636521.71,707142284.21
600391.SH,20070331,16815694.3,144523832.32
600808.SH,20070331,667833720.0,9943275661.0
600317.SH,20070331,72070351.63,270348434.98
600694.SH,20070331,137471892.14,4242678546.42
600466.SH,20070331,-1855341.05,45867581.75
600418.SH,20070331,141207001.98,3257003009.42
600887.SH,20070331,143474455.51,3905380982.72
600986.SH,20070331,2508992.56,71627705.74
600628.SH,20070331,49191168.97,515002069.94
002007.SZ,20070331,18571259.22,76078592.24
000547.SZ,20070331,15888074.15,69840524.94
600815.SH,20070331,28371898.38,1241023396.37
600831.SH,20070331,4876725.98,58230438.96
600962.SH,20070331,6132780.95,385058941.32
600257.SH,20070331,5822208.36,73985211.46
600766.SH,20070331,3750062.44,8551107.41
600784.SH,20070331,8838071.35,843883959.12
600785.SH,20070331,51290058.64,787224957.72
002098.SZ,20070331,16384078.9,158865724.23
600419.SH,20070331,3982.97,100671576.99
600607.SH,20070331,56684685.94,682006972.38
000060.SZ,20070331,334178583.6,1848043331.94
002060.SZ,20070331,22959852.02,568805613.49
600896.SH,20070331,65160866.09,186865300.42
002101.SZ,20070331,6525281.9,107764603.54
002091.SZ,20070331,20105459.94,515287463.4
002118.SZ,20070331,4335555.3,15197940.42
600201.SH,20070331,20279234.57,80474927.3
600433.SH,20070331,4676117.41,139309047.12
600301.SH,20070331,2481323.98,333259164.75
600122.SH,20070331,5151572.59,1149345078.71
600057.SH,20070331,10092289.57,892474413.57
000688.SZ,20070331,-13938689.02,4380891.04
600567.SH,20070331,9279328.98,426692224.96
600408.SH,20070331,55518895.32,791871967.55
600608.SH,20070331,103382091.68,106834478.53
600371.SH,20070331,13569312.76,164668765.08
600650.SH,20070331,88789512.07,390456657.76
600794.SH,20070331,7154042.72,22920091.17
600629.SH,20070331,180635.04,28483186.8
002005.SZ,20070331,-26112642.45,285559491.07
000565.SZ,20070331,6248744.56,78865287.36
000560.SZ,20070331,8120493.67,241783232.01
600987.SH,20070331,33125659.9,318820819.86
600634.SH,20070331,725650.56,8183509.2
600666.SH,20070331,14870359.36,99961813.6
600879.SH,20070331,46714279.03,281338402.63
600960.SH,20070331,9736640.72,282234528.95
000559.SZ,20070331,112745870.19,1036371960.53
000698.SZ,20070331,57118500.24,1212837685.4
000667.SZ,20070331,107249729.49,275511525.58
000610.SZ,20070331,3025763.54,49047172.38
000851.SZ,20070331,-4790513.16,65480530.87
000758.SZ,20070331,168742438.01,615694567.44
000677.SZ,20070331,40279971.17,657117607.84
002014.SZ,20070331,17905314.31,250494958.85
000789.SZ,20070331,792364.3,246851246.25
600715.SH,20070331,23518745.09,21155259.44
002044.SZ,20070331,5437056.73,125941160.89
002038.SZ,20070331,25127777.82,32726972.45
000697.SZ,20070331,-1491189.03,208127760.57
000718.SZ,20070331,6654908.89,111522810.16
002033.SZ,20070331,15887263.68,23670530.09
000818.SZ,20070331,2049464.82,480628207.66
000711.SZ,20070331,-988475.76,1229012.8
000707.SZ,20070331,11524463.86,285089149.53
000830.SZ,20070331,70845346.42,990984128.0
000806.SZ,20070331,21638707.29,320570829.08
000755.SZ,20070331,111333991.5,664774558.08
000902.SZ,20070331,-3132518.69,405167586.73
002067.SZ,20070331,23653688.17,244433233.1
000825.SZ,20070331,1564528961.94,17864520925.74
000885.SZ,20070331,10887197.32,135603900.56
002113.SZ,20070331,6708624.15,75611959.66
000910.SZ,20070331,53166738.37,977976997.61
000917.SZ,20070331,62859063.37,444467202.97
