ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,n_cashflow_act,c_pay_acq_const_fiolta
601005.SH,20131026,20131026,20130930,1,1,3,1637597000.0,1586116000.0
601006.SH,20131030,20131030,20130930,1,1,3,12137120382.0,2800347105.0
601009.SH,20131031,20131031,20130930,2,1,3,52131354836.9,326027548.03
601010.SH,20131029,20131029,20130930,1,1,3,207105886.13,138529452.42
601012.SH,20131030,20131030,20130930,1,1,3,191731390.94,201540650.52
601018.SH,20131030,20131030,20130930,1,1,3,2417360000.0,1334152000.0
601058.SH,20131031,20131031,20130930,1,1,3,386526659.67,883541872.71
601077.SH,20131028,20131028,20130930,2,1,3,5372247000.0,
601088.SH,20131026,20131026,20130930,1,1,3,35171000000.0,31787000000.0
601098.SH,20131029,20131029,20130930,1,1,3,495691725.51,114955693.0
601099.SH,20131026,20131026,20130930,4,1,3,205487855.63,14713372.1
601100.SH,20131029,20131029,20130930,1,1,3,119713234.56,318249282.29
601106.SH,20131030,20131030,20130930,1,1,3,-465035541.26,114323641.08
601108.SH,20131030,20131030,20130930,4,1,3,1631342212.63,185873274.77
601111.SH,20131030,20131030,20130930,1,1,3,14607638000.0,15668864000.0
601117.SH,20131026,20131026,20130930,1,1,3,726082062.92,2056014700.0
601118.SH,20131031,20131031,20130930,1,1,3,458440934.55,448478038.01
601126.SH,20131025,20131025,20130930,1,1,3,-296922130.01,72333363.56
601127.SH,20131121,20131121,20130930,1,1,3,12697673.54,317575065.41
601139.SH,20131022,20131022,20130930,1,1,3,836908354.58,980877994.14
601158.SH,20131029,20131029,20130930,1,1,3,1695769476.07,283257577.86
601163.SH,20131029,20131029,20130930,1,1,3,1072756876.21,44044309.2
601166.SH,20131030,20131030,20130930,2,1,3,179614000000.0,1714000000.0
601168.SH,20131026,20131026,20130930,1,1,3,700956746.0,917542598.0
601169.SH,20131031,20131031,20130930,2,1,3,22869543000.0,2312417000.0
601179.SH,20131029,20131029,20130930,1,1,3,-498001839.88,335312554.18
601186.SH,20131031,20131031,20130930,1,1,3,-11238158000.0,12185163000.0
601200.SH,20131031,20131031,20130930,1,1,3,203713741.73,391624816.78
601216.SH,20131030,20131030,20130930,1,1,3,-139924048.54,315232878.94
601231.SH,20131024,20131024,20130930,1,1,3,1087230165.11,226193263.87
601233.SH,20131029,20131029,20130930,1,1,3,241504403.95,1274881371.42
601238.SH,20131031,20131031,20130930,1,1,3,333820389.0,1106227914.0
601258.SH,20131031,20131031,20130930,1,1,3,9272394569.0,1551000547.0
601288.SH,20131031,20131031,20130930,2,1,3,146429000000.0,15289000000.0
601311.SH,20131022,20131022,20130930,1,1,3,370588901.85,254128217.07
601318.SH,20131026,20131026,20130930,3,1,3,208861000000.0,5172000000.0
601328.SH,20131031,20131031,20130930,2,1,3,115304000000.0,7265000000.0
601333.SH,20131030,20131030,20130930,1,1,3,1712940303.0,926067351.0
601336.SH,20131031,20131031,20130930,3,1,3,38327000000.0,1630000000.0
601360.SH,20131030,20131030,20130930,1,1,3,248043622.69,54967132.13
601369.SH,20131025,20131025,20130930,1,1,3,11715609.88,56909613.4
601377.SH,20131026,20131026,20130930,4,1,3,-4084470493.18,31064345.2
601390.SH,20131031,20131031,20130930,1,1,3,-2219482000.0,8913538000.0
601398.SH,20131031,20131031,20130930,2,1,3,69831000000.0,20792000000.0
601399.SH,20131029,20131029,20130930,1,1,3,-1118800850.4,307087814.39
601515.SH,20131030,20131030,20130930,1,1,3,215682887.09,290571189.79
601555.SH,20131030,20131030,20130930,4,1,3,-1105120246.67,165205692.17
601567.SH,20131029,20131029,20130930,1,1,3,-111378706.16,91611585.44
601598.SH,20131024,20131024,20130930,1,1,3,1323852000.0,1038541000.0
601600.SH,20131031,20131031,20130930,1,1,3,2352819000.0,6470264000.0
601601.SH,20131031,20131031,20130930,3,1,3,37827000000.0,2433000000.0
601607.SH,20131026,20131026,20130930,1,1,3,552947678.42,605006218.32
601608.SH,20131026,20131026,20130930,1,1,3,-299400224.95,415684874.05
601615.SH,20131031,20131031,20130930,1,1,3,-179175636.16,64982271.53
601618.SH,20131030,20131030,20130930,1,1,3,-1805325000.0,1750615000.0
601628.SH,20131026,20131026,20130930,3,1,3,53685000000.0,2117000000.0
601633.SH,20131025,20131025,20130930,1,1,3,7838876272.69,4301702786.96
601636.SH,20131025,20131025,20130930,1,1,3,1120120626.39,1417420286.64
601666.SH,20131029,20131029,20130930,1,1,3,-2353939387.24,225144021.13
601668.SH,20131029,20131029,20130930,1,1,3,-25426942000.0,6036518000.0
601669.SH,20131031,20131031,20130930,1,1,3,-818214937.87,11666458937.7
601678.SH,20131015,20131015,20130930,1,1,3,245106465.7,745644843.15
601688.SH,20131030,20131030,20130930,4,1,3,-17918209353.33,346311070.39
601699.SH,20131030,20131030,20130930,1,1,3,1160716795.35,3339111732.58
601717.SH,20131026,20131026,20130930,1,1,3,-515396367.36,173725543.47
601718.SH,20131029,20131029,20130930,1,1,3,-714647750.2,817190268.77
601727.SH,20131031,20131031,20130930,1,1,3,2683591000.0,1305847000.0
601728.SH,20131029,20131029,20130930,1,1,3,67626635129.67,46637622950.04
601766.SH,20131026,20131026,20130930,1,1,3,-5407620000.0,3013339000.0
601777.SH,20131030,20131030,20130930,1,1,3,-24129422.53,564638749.77
601788.SH,20131031,20131031,20130930,4,1,3,-1264958319.32,66084386.8
601799.SH,20131022,20131022,20130930,1,1,3,193560479.06,127848934.56
601800.SH,20131031,20131031,20130930,1,1,3,-6540894638.0,18586481101.0
601801.SH,20131030,20131030,20130930,1,1,3,68715574.19,60983069.74
601808.SH,20131026,20131026,20130930,1,1,3,4895807859.0,5070204489.0
601818.SH,20131029,20131029,20130930,2,1,3,15275000000.0,1469000000.0
601828.SH,20131030,20131030,20130930,1,1,3,3002239796.89,2799434529.67
601857.SH,20131030,20131030,20130930,1,1,3,205671000000.0,209868000000.0
601866.SH,20131030,20131030,20130930,1,1,3,-935139033.46,1803710180.32
601872.SH,20131018,20131018,20130930,1,1,3,-3897111164.02,581851098.29
601877.SH,20131030,20131030,20130930,1,1,3,5428603.98,335409080.93
601880.SH,20131030,20131030,20130930,1,1,3,1226878494.14,578278715.27
601886.SH,20131030,20131030,20130930,1,1,3,-948985053.61,148087996.79
601888.SH,20131031,20131031,20130930,1,1,3,1114105292.7,332398646.93
601898.SH,20131026,20131026,20130930,1,1,3,4888673000.0,18883398000.0
601899.SH,20131025,20131025,20130930,1,1,3,5317910081.58,4454730517.76
601901.SH,20131031,20131031,20130930,4,1,3,-804542761.27,51914540.01
601908.SH,20131029,20131029,20130930,1,1,3,-223810428.34,443319413.25
601918.SH,20131031,20131031,20130930,1,1,3,649860427.53,1144368585.58
601919.SH,20131031,20131031,20130930,1,1,3,-3221897071.41,7774559262.81
601928.SH,20131029,20131029,20130930,1,1,3,389953935.0,717407257.09
