ts_code,ann_date,end_date,total_liab,money_cap,total_assets
300076.SZ,20210430,20201231,91571666.52,258375873.85,1123310680.83
002873.SZ,20210430,20201231,707636495.11,330087402.99,1535933766.56
300297.SZ,20210430,20201231,4458717352.31,69313030.8,7353524834.93
603098.SH,20210430,20201231,2877892998.71,849028291.16,5014554912.99
600686.SH,20210430,20201231,17402220127.2,4689181522.82,23720800179.88
601108.SH,20210429,20201231,73201841046.6,20521337750.35,96658845911.3
000516.SZ,20210429,20201231,7091134274.54,1036746764.16,12124407681.43
002217.SZ,20210429,20201231,19930001951.27,2619745585.97,30372318685.43
002275.SZ,20210429,20201231,923271325.82,1361906768.6,3882273181.59
002517.SZ,20210429,20201231,536032851.51,732696282.21,3544602014.48
688298.SH,20210429,20201231,1121810035.03,2038612816.41,3573223438.3
002212.SZ,20210429,20201231,1730056789.79,1383010699.4,11324258269.1
