ts_code,end_date,c_fr_sale_sg,c_pay_acq_const_fiolta
600121.SH,20081231,4467502203.74,608224313.99
600122.SH,20081231,9418631320.57,10740406.03
600123.SH,20081231,5544388405.57,799310852.88
600125.SH,20081231,1216608626.68,313105252.56
600132.SH,20081231,2442108838.38,481117990.79
600133.SH,20081231,188600127.25,349297570.39
600135.SH,20081231,784442272.67,113315373.52
600136.SH,20081231,77747303.48,402050.0
600137.SH,20081231,204586706.65,1089560.0
600138.SH,20081231,4498479805.27,203902863.2
600141.SH,20081231,2745665539.86,214438071.32
600146.SH,20081231,135890501.74,3959392.62
600150.SH,20081231,28955705269.18,3731187806.91
600151.SH,20081231,1245591951.69,114637747.32
600152.SH,20081231,2266349374.25,60749391.27
600156.SH,20081231,949124638.16,7987041.97
600158.SH,20081231,1222112163.37,16682376.84
600160.SH,20081231,6248594375.02,449701852.72
600161.SH,20081231,757256069.21,150312012.61
600162.SH,20081231,1610532983.51,141874336.77
600165.SH,20081231,1315341945.43,46718803.4
600166.SH,20081231,13816765589.94,505542319.49
600168.SH,20081231,219371959.9,577502101.11
600169.SH,20081231,8324839890.57,464719329.86
600170.SH,20081231,32023132299.0,715018967.0
600171.SH,20081231,469792409.9,17174973.48
600172.SH,20081231,799152677.42,114371253.12
600173.SH,20081231,420796322.71,968528.05
600176.SH,20081231,3300158103.66,2841827219.79
600177.SH,20081231,12244751450.91,4198280328.46
600182.SH,20081231,3017647990.5,105579080.93
600183.SH,20081231,4743989796.56,187559491.6
600184.SH,20081231,832420590.66,90505647.73
600192.SH,20081231,1123109041.05,98435759.13
600195.SH,20081231,2062069281.96,87557375.29
600196.SH,20081231,4152820661.03,210627976.56
600197.SH,20081231,918857586.13,88279287.52
600198.SH,20081231,3049487420.26,166778981.75
600200.SH,20081231,2798775329.59,59669066.35
600201.SH,20081231,872586319.16,12301191.29
600202.SH,20081231,1039724609.9,202381697.38
600203.SH,20081231,1570554765.94,5796890.52
