ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
600291.SH,20160303,20160303,20151231,1,3,20029267014.11,20029267014.11,,726010045.61,762205047.75,487548804.65,0.4631
601998.SH,20160324,20160324,20151231,1,2,145134000000.0,145134000000.0,,54637000000.0,54986000000.0,41740000000.0,0.88
600369.SH,20160305,20160305,20151231,1,4,8496799180.16,8496799180.16,,4266096932.66,4342742003.61,3545060131.45,0.63
600999.SH,20160301,20160301,20151231,1,4,25291794057.95,25291794057.95,,13576396721.41,13633990724.24,10928254480.73,1.88
600109.SH,20160321,20160321,20151231,1,4,6748452672.79,6748452672.79,,3099010801.14,3128218192.24,2358150654.94,0.801
600030.SH,20160324,20160324,20151231,1,4,56013436032.55,56013436032.55,,27654186365.48,27287144291.36,20360343966.72,1.71
601688.SH,20160330,20160330,20151231,1,4,26261939871.49,26261939871.49,,14270074421.49,14263496806.01,10797908235.33,1.6452
601099.SH,20160305,20160305,20151231,1,4,2743370669.88,2743370669.88,,1441775756.19,1448625811.77,1134756439.26,0.321
601318.SH,20160316,20160316,20151231,1,3,619990000000.0,619990000000.0,,92947000000.0,93413000000.0,65178000000.0,2.98
601665.SH,20160326,20160326,20151231,1,2,4231789486.0,4231789486.0,,1403916678.0,1452148670.0,1196468204.0,0.46
000001.SZ,20160310,20160310,20151231,1,2,96163000000.0,96163000000.0,,28895000000.0,28846000000.0,21865000000.0,1.56
000728.SZ,20160329,20160329,20151231,1,4,5773382071.47,5773382071.47,,3653516100.28,3664751292.14,2784414491.87,1.42
601336.SH,20160330,20160330,20151231,1,3,158453000000.0,158453000000.0,,11279000000.0,11782000000.0,8602000000.0,2.76
300927.SZ,20160322,20160322,20151231,1,1,370556447.44,370556447.44,,,,,
601601.SH,20160328,20160328,20151231,1,3,247202000000.0,247202000000.0,,24180000000.0,24311000000.0,18038000000.0,1.96
000776.SZ,20160319,20160319,20151231,1,4,33446639919.41,33446639919.41,,17679193807.38,17805712267.21,13612353378.75,1.87
600958.SH,20160314,20160314,20151231,1,4,15434705061.27,15434705061.27,,9394448207.2,9499085291.69,7374169731.78,1.46
601628.SH,20160324,20160324,20151231,1,3,511367000000.0,511367000000.0,,46013000000.0,45931000000.0,35187000000.0,1.22
000750.SZ,20160330,20160330,20151231,1,4,4959157199.17,4959157199.17,,2436750520.79,2448401496.5,1840972689.7,0.71
601198.SH,20160305,20160305,20151231,1,4,5356995628.95,5356995628.95,,2528746983.98,2528417368.11,2043933335.16,0.84
601328.SH,20160330,20160330,20151231,1,2,193828000000.0,193828000000.0,,85712000000.0,86012000000.0,66831000000.0,0.9
000783.SZ,20160326,20160326,20151231,1,4,8499643780.49,8499643780.49,,4397739925.21,4404423935.17,3495948830.86,0.74
