ts_code,ann_date,end_date,total_liab,money_cap,total_assets
688331.SH,20231031,20230930,1558115861.03,609013239.33,5514357338.62
688006.SH,20231031,20230930,5283249665.22,3494105206.61,10401548270.97
000829.SZ,20231031,20230930,19220323505.17,4831682073.81,22313977738.25
603556.SH,20231031,20230930,2444316041.51,5123671686.15,8765778202.15
600925.SH,20231031,20230930,18535498589.04,8695601925.14,35889504875.99
688563.SH,20231031,20230930,1505988959.47,7642230653.23,11448889688.43
002531.SZ,20231031,20230930,15301307131.62,552733655.2,24194651196.36
600635.SH,20231031,20230930,13129653088.43,2841934341.46,22957622361.29
688019.SH,20231031,20230930,409145428.7,337736513.85,2433720968.42
601881.SH,20231031,20230930,555726328135.22,93890733209.66,676322766219.97
601689.SH,20231031,20230930,15825221222.93,3129587686.32,29081168751.1
601878.SH,20231031,20230930,119164542804.42,43748723801.25,146978830202.59
000987.SZ,20231031,20230930,144590708358.52,20092411846.41,185309288335.29
000839.SZ,20231031,20230930,5547533653.05,291827760.59,6446663459.27
600196.SH,20231031,20230930,54784884542.16,13047681296.61,110767244296.81
603983.SH,20231031,20230930,730354567.66,868181573.06,4051795017.69
688120.SH,20231031,20230930,3380160818.77,2990968741.12,8713017970.58
601995.SH,20231031,20230930,521360966622.0,110325038574.0,624873894949.0
600521.SH,20231031,20230930,10176645572.7,1089955831.98,18431420846.16
000919.SZ,20231031,20230930,859400725.35,912076558.41,4539711037.57
688248.SH,20231031,20230930,1383726216.15,1647952011.69,4082623225.16
002470.SZ,20231031,20230930,10230176385.96,1655895757.34,12791181943.69
688425.SH,20231031,20230930,9484733069.47,1654630031.62,25660744078.28
001979.SZ,20231031,20230930,667105627451.7,88766212898.11,963521580127.19
601186.SH,20231031,20230930,1271158242000.0,156391652000.0,1681665291000.0
601800.SH,20231031,20230930,1348394387912.0,159406603306.0,1793517168041.0
600195.SH,20231031,20230930,2156550862.33,997700314.86,8725857681.1
600466.SH,20231031,20230930,145659323005.61,1659417075.52,120659687292.82
600522.SH,20231031,20230930,20029254128.06,11627048593.5,54288057604.36
600611.SH,20231031,20230930,9235608238.92,1783235789.16,19279336385.61
000825.SZ,20231031,20230930,32903221188.2,8336013371.9,69675221309.05
000697.SZ,20231031,20230930,3744287701.54,63301423.38,3064903826.54
002440.SZ,20231031,20230930,2467474858.63,1779029407.28,12174858810.48
600009.SH,20231031,20230930,27357698945.68,12207348514.11,68905312107.22
600073.SH,20231031,20230930,7506063442.3,3359275858.73,14433310547.06
000166.SZ,20231031,20230930,487965870819.98,93416462107.67,612973195325.89
000761.SZ,20231031,20230930,28438490477.23,2308791347.62,46642832594.9
002468.SZ,20231031,20230930,13637660702.08,3046755937.08,22043224329.68
002456.SZ,20231031,20230930,13828619212.06,1933298197.94,17520640411.54
601669.SH,20231031,20230930,933630931172.02,103201361931.58,1198597492368.08
000776.SZ,20231031,20230930,529632766592.06,110434444516.74,668917787667.25
600682.SH,20231031,20230930,7002517134.24,4630121536.44,25840412408.24
600654.SH,20231031,20230930,2318732486.9,716304048.82,3830868198.15
300432.SZ,20231031,20230930,5590736504.08,1890879129.7,9780434447.02
300104.SZ,20231031,20230930,23631392606.34,467526703.58,2116524753.58
600284.SH,20231031,20230930,22641663756.37,5527715137.62,30172890535.36
600240.SH,20231031,20230930,16476912701.25,13509162.11,4075780475.56
603369.SH,20231031,20230930,7362361441.12,6326635114.18,20159020221.83
600958.SH,20231031,20230930,278184247081.42,83387382092.4,356877781793.35
601009.SH,20231031,20230930,2071140821000.0,,2240678969000.0
002019.SZ,20231031,20230930,3080638662.02,744397403.77,12346941469.02
600363.SH,20231031,20230930,3041726814.15,1632563607.97,7617993264.43
600320.SH,20231031,20230930,65906880571.0,4071529731.0,84470282041.0
600125.SH,20231031,20230930,2743992271.76,1659524999.65,9789973744.74
600259.SH,20231031,20230930,5002227106.11,1058570903.21,8944339505.16
600221.SH,20231031,20230930,136189511000.0,12640246000.0,139230373000.0
600201.SH,20231031,20230930,1183523363.32,1801824477.13,6799784587.68
000969.SZ,20231031,20230930,4763584604.36,2033600679.28,11339622562.5
600399.SH,20231031,20230930,5906968111.23,894127620.31,12243950935.53
600200.SH,20231031,20230930,2418070961.93,1620789766.18,4262281646.81
600167.SH,20231031,20230930,5082748333.37,7122550546.8,16863949164.38
600151.SH,20231031,20230930,5742378199.73,1320488036.18,11617534313.65
600138.SH,20231031,20230930,9601780781.83,1109296352.61,17973216480.43
002422.SZ,20231031,20230930,13752734533.0,6141215490.0,35959920315.0
600377.SH,20231030,20230930,39071733618.54,697486657.91,79470210064.25
600905.SH,20231030,20230930,191676500894.17,11226560869.23,284498700178.3
000413.SZ,20231030,20230930,35363949806.6,8578276939.38,58705223444.82
000158.SZ,20231030,20230930,9324930332.91,1372004483.4,15117999600.72
600776.SH,20231030,20230930,810199231.71,1688378874.96,4253172324.69
000528.SZ,20231030,20230930,27946984625.83,9820513607.17,45783665456.2
000030.SZ,20231030,20230930,7976802616.84,1828238771.43,16463613002.76
601058.SH,20231030,20230930,20637938969.04,6521875333.74,35040874643.86
600939.SH,20231030,20230930,73620139683.17,3794120702.63,82576278585.21
000938.SZ,20231030,20230930,43278440015.15,13506413128.13,82344216469.71
301029.SZ,20231030,20230930,622691773.91,982578081.43,3612077604.75
000078.SZ,20231030,20230930,29825392793.37,3034210623.84,36011587263.92
600258.SH,20231030,20230930,14180783940.74,1566378528.19,25343681041.44
300957.SZ,20231030,20230930,1048865218.03,1641085721.98,6909883880.91
002007.SZ,20231030,20230930,2613324180.62,644205979.32,15531479192.68
000156.SZ,20231030,20230930,13673436504.05,5041741518.12,28722132309.39
002280.SZ,20231030,20230930,7545964673.61,851844600.44,8108280960.58
000717.SZ,20231030,20230930,12269118287.92,1066729408.1,21247919663.48
688032.SH,20231030,20230930,742511480.53,4843676745.45,7153057610.9
000793.SZ,20231030,20230930,2640176076.37,128024539.92,4948301104.95
600583.SH,20231030,20230930,17094781200.0,6340727000.0,43680205900.0
002390.SZ,20231030,20230930,2481464177.48,1058407708.4,9627215378.06
600651.SH,20231030,20230930,1784215906.33,1050574599.69,4275087840.09
300869.SZ,20231030,20230930,1391513671.5,362964487.15,3466231813.74
300776.SZ,20231030,20230930,3361393070.56,342059028.06,6308048327.04
300199.SZ,20231030,20230930,2142265129.59,51454083.52,3291433916.81
600158.SH,20231030,20230930,4049163203.3,2540651714.67,7381741469.52
300759.SZ,20231030,20230930,9749326551.15,2058719211.34,22476012563.7
688702.SH,20231030,20230930,1532311111.31,2613390747.11,3955656678.69
600871.SH,20231030,20230930,66262908000.0,2013934000.0,74532190000.0
002607.SZ,20231030,20230930,7350191413.85,1181191992.63,8372112755.39
002392.SZ,20231030,20230930,3203476130.87,654255901.56,8437990849.18
600765.SH,20231030,20230930,12719871229.0,4183828768.21,24678032093.91
000537.SZ,20231030,20230930,29767705107.53,4692808599.5,49186617027.49
002500.SZ,20231030,20230930,59979769928.0,20495047989.0,77880972763.0
000563.SZ,20231030,20230930,7532633364.13,,24429105670.41
002640.SZ,20231030,20230930,2924108801.75,351533334.54,4253451186.64
688072.SH,20231030,20230930,4719197782.2,2552938935.25,8792929324.91
300866.SZ,20231030,20230930,5376909582.32,1517958659.86,13064966693.93
000426.SZ,20231030,20230930,4477602801.58,79120515.09,10668501487.06
002472.SZ,20231030,20230930,5064769312.65,1385025981.51,13209221469.29
603528.SH,20231028,20230930,1173897409.73,341021716.59,2900652120.86
002340.SZ,20231028,20230930,25919881295.28,3528717134.66,47549328145.43
600021.SH,20231028,20230930,117734774980.19,9246340483.81,168987958207.0
