trade_date,adj_close,adj_factor,ts_code,close
20220928,54.955908,1.0,,
20220929,54.119015999999995,1.0,,
20220930,54.119015999999995,1.0,,
20221010,53.840052,1.0,,
20221011,53.561088,1.0,,
20221012,54.39798,1.0,,
20221013,54.119015999999995,1.0,,
20221014,54.816426,1.0,,
20221017,55.234872,1.0,,
20221018,54.955908,1.0,,
20221019,54.258498,1.0,,
20221020,53.70057,1.0,,
20221021,53.840052,1.0,,
20221024,52.026786,1.0,,
20221025,52.30575,1.0,,
20221026,52.445232,1.0,,
20221027,52.445232,1.0,,
20221028,52.863678,1.0,,
20221031,54.119015999999995,1.0,,
20221101,54.258498,1.0,,
20221102,54.119015999999995,1.0,,
20221103,54.119015999999995,1.0,,
20221104,54.676944,1.0,,
20221107,55.09539,1.0,,
20221108,54.955908,1.0,,
20221109,54.816426,1.0,,
20221110,55.513836,1.0,,
20221111,56.071763999999995,1.0,,
20221114,55.7928,1.0,,
20221115,56.071763999999995,1.0,,
20221116,58.442958,1.0,,
20221117,58.024512,1.0,,
20221118,56.62969199999999,1.0,,
20221121,57.048137999999994,1.0,,
20221122,57.327102,1.0,,
20221123,57.187619999999995,1.0,,
20221124,58.024512,1.0,,
20221125,58.303476,1.0,,
20221128,58.582440000000005,1.0,,
20221129,58.86140399999999,1.0,,
20221130,59.140368,1.0,,
20221201,58.582440000000005,1.0,,
20221202,58.582440000000005,1.0,,
20221205,59.698296000000006,1.0,,
20221206,59.140368,1.0,,
20221207,59.00088600000001,1.0,,
20221208,59.419332,1.0,,
20221209,58.582440000000005,1.0,,
20221212,58.024512,1.0,,
20221213,59.837778,1.0,,
20221214,58.582440000000005,1.0,,
20221215,58.024512,1.0,,
20221216,58.582440000000005,1.0,,
20221219,58.582440000000005,1.0,,
20221220,59.140368,1.0,,
20221221,59.698296000000006,1.0,,
20221222,58.163993999999995,1.0,,
20221223,57.466584000000005,1.0,,
20221226,58.163993999999995,1.0,,
20221227,59.55881399999999,1.0,,
20221228,58.442958,1.0,,
20221229,57.327102,1.0,,
20221230,58.303476,1.0,,
20230103,59.27985,1.0,,
20230104,58.86140399999999,1.0,,
20230105,58.442958,1.0,,
20230106,57.74554799999999,1.0,,
20230109,57.606066,1.0,,
20230110,57.187619999999995,1.0,,
20230111,57.048137999999994,1.0,,
20230112,56.211246,1.0,,
20230113,56.49021,1.0,,
20230116,56.76917400000001,1.0,,
20230117,57.048137999999994,1.0,,
20230118,59.698296000000006,1.0,,
20230119,59.837778,1.0,,
20230120,59.00088600000001,1.0,,
20230130,59.837778,1.0,,
20230131,59.837778,1.0,,
20230201,59.837778,1.0,,
20230202,61.651044,1.0,,
20230203,61.093115999999995,1.0,,
20230206,60.535188,1.0,,
20230207,60.953634,1.0,,
20230208,60.116741999999995,1.0,,
20230209,60.395706,1.0,,
20230210,60.67466999999999,1.0,,
20230213,60.67466999999999,1.0,,
20230214,60.67466999999999,1.0,,
20230215,59.977259999999994,1.0,,
20230216,59.55881399999999,1.0,,
20230217,59.55881399999999,1.0,,
20230220,60.81415200000001,1.0,,
20230221,60.81415200000001,1.0,,
20230222,60.67466999999999,1.0,,
20230223,60.81415200000001,1.0,,
20230224,60.67466999999999,1.0,,
20230227,60.256224,1.0,,
20230228,60.81415200000001,1.0,,
20230301,60.953634,1.0,,
20230302,61.232598,1.0,,
20230303,62.06949,1.0,,
20230306,61.93000800000001,1.0,,
20230307,60.953634,1.0,,
20230308,61.37208,1.0,,
20230309,61.232598,1.0,,
20230310,60.535188,1.0,,
20230313,61.232598,1.0,,
20230314,60.395706,1.0,,
20230315,62.487936000000005,1.0,,
20230316,61.93000800000001,1.0,,
20230317,62.487936000000005,1.0,,
20230320,61.651044,1.0,,
20230321,61.232598,1.0,,
20230322,61.232598,1.0,,
20230323,60.67466999999999,1.0,,
20230324,60.67466999999999,1.0,,
20230327,59.698296000000006,1.0,,
20230328,59.27985,1.0,,
20230329,58.582440000000005,1.0,,
20230330,58.721922,1.0,,
20230331,59.55881399999999,1.0,,
20230403,60.535188,1.0,,
20230404,62.906381999999994,1.0,,
20230406,62.487936000000005,1.0,,
20230407,61.511562000000005,1.0,,
20230410,57.74554799999999,1.0,,
20230411,57.327102,1.0,,
20230412,57.74554799999999,1.0,,
20230413,58.024512,1.0,,
20230414,58.163993999999995,1.0,,
20230417,58.582440000000005,1.0,,
20230418,58.024512,1.0,,
20230419,58.303476,1.0,,
20230420,58.303476,1.0,,
20230421,58.024512,1.0,,
20230424,58.163993999999995,1.0,,
20230425,58.024512,1.0,,
